,Unnamed: 0,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,,user_location,,predicted_location
387,387,b'VikasGu79674248',9/24/2020 14:29,b'@realSukhiChahal The whole Punjab is happy with the campaign you have run against Gurpatwant Singh Punnu....\xe2\x80\xa6 https://t.co/V8s9Dod6d5',[],3,18,,"Place(_api=<tweepy.api.API object at 0x000001DBBDD64A88>, id='5dbd0cff60d628af', url='https://api.twitter.com/1.1/geo/id/5dbd0cff60d628af.json', place_type='city', name='Ludhiana', full_name='Ludhiana, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001DBBDD64A88>, type='Polygon', coordinates=[[[75.633677, 30.56898], [76.152149, 30.56898], [76.152149, 31.01921], [75.633677, 31.01921]]]), attributes={})",,Not Classified
485,0,b'Shilpa0226',10/3/2020 6:59,"b'RT @JimmyKaur3: #Pannun and other #KhalistaniSupporters, please try to understand that if you are asking a question to #Sikhs that ""Do you\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [16, 23]}, {'text': 'KhalistaniSupporters', 'indices': [34, 55]}, {'text': 'Sikhs', 'indices': [119, 125]}]",5,0,,India,,India
488,3,b'ZayniRajput',10/3/2020 6:48,"b'RT @gohar_maheen: Trending Topics in Pakistan on 03-Oct-20, 04:30:05\n\n41 #COVID19\n42 #thealbum\n43 #fridaymotivation\n44 #studentsprotestwith\xe2\x80\xa6'","[{'text': 'COVID19', 'indices': [73, 81]}, {'text': 'thealbum', 'indices': [85, 94]}, {'text': 'fridaymotivation', 'indices': [98, 115]}]",5,0,,"Lahore, Pakistan",,Pakistan
492,7,b'RanaAsadMasood1',10/3/2020 6:35,b'RT @ShahzaibKasra4: #Khalistan #\xd8\xb9\xd8\xb2\xd8\xaa_\xda\xa9\xdb\x8c_\xd8\xb2\xd9\x86\xd8\xaf\xda\xaf\xdb\x8c_\xd8\xac\xdb\x8c\xd8\xa6\xdb\x8c\xda\xba_\xda\xaf\xdb\x92\nIn Sha ALLAH\nAMEEN https://t.co/8Islz4oBsk',"[{'text': 'Khalistan', 'indices': [20, 30]}, {'text': 'عزت_کی_زندگی_جیئیں_گے', 'indices': [31, 53]}]",7,0,,"Pakpattan, Pakistan",,Pakistan
496,11,b'Abdulla52521512',10/3/2020 6:31,"b'RT @gohar_maheen: Trending Topics in Pakistan on 03-Oct-20, 04:30:05\n\n41 #COVID19\n42 #thealbum\n43 #fridaymotivation\n44 #studentsprotestwith\xe2\x80\xa6'","[{'text': 'COVID19', 'indices': [73, 81]}, {'text': 'thealbum', 'indices': [85, 94]}, {'text': 'fridaymotivation', 'indices': [98, 115]}]",5,0,,"Punjab, Pakistan",,India
500,15,b'MianNad24298814',10/3/2020 6:16,b'RT @ShahzaibKasra4: #Khalistan #\xd8\xb9\xd8\xb2\xd8\xaa_\xda\xa9\xdb\x8c_\xd8\xb2\xd9\x86\xd8\xaf\xda\xaf\xdb\x8c_\xd8\xac\xdb\x8c\xd8\xa6\xdb\x8c\xda\xba_\xda\xaf\xdb\x92\nIn Sha ALLAH\nAMEEN https://t.co/8Islz4oBsk',"[{'text': 'Khalistan', 'indices': [20, 30]}, {'text': 'عزت_کی_زندگی_جیئیں_گے', 'indices': [31, 53]}]",7,0,,"Lahore, Pakistan",,Pakistan
503,18,b'Shilpa0226',10/3/2020 5:52,"b'RT @Sukhlee72644266: #Khalistan? Really! Oh please #Pannun for once, be honest with the #SikhCommunity. How can #Khalistan be a solution to\xe2\x80\xa6'","[{'text': 'Khalistan', 'indices': [21, 31]}, {'text': 'Pannun', 'indices': [51, 58]}, {'text': 'SikhCommunity', 'indices': [88, 102]}, {'text': 'Khalistan', 'indices': [112, 122]}]",11,0,,India,,India
505,20,b'RBhanishali',10/3/2020 5:47,"b'RT @JimmyKaur3: #Pannun and other #KhalistaniSupporters, please try to understand that if you are asking a question to #Sikhs that ""Do you\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [16, 23]}, {'text': 'KhalistaniSupporters', 'indices': [34, 55]}, {'text': 'Sikhs', 'indices': [119, 125]}]",5,0,,bhuj Gujarat ,,Not Classified
509,24,b'mayankpratap',10/3/2020 5:34,"b'RT @Sukhlee72644266: #Khalistan? Really! Oh please #Pannun for once, be honest with the #SikhCommunity. How can #Khalistan be a solution to\xe2\x80\xa6'","[{'text': 'Khalistan', 'indices': [21, 31]}, {'text': 'Pannun', 'indices': [51, 58]}, {'text': 'SikhCommunity', 'indices': [88, 102]}, {'text': 'Khalistan', 'indices': [112, 122]}]",11,0,,"Chandigarh, India",,India
510,25,b'TopTrendsWatch',10/3/2020 5:30,"b'Trending Topics in Pakistan on 03-Oct-20, 10:30:04\n\n41 #covid19\n42 #bachakhaniconofpeace\n43 #thegroup\n44\xe2\x80\xa6 https://t.co/vsKTd3z1od'","[{'text': 'covid19', 'indices': [55, 63]}, {'text': 'bachakhaniconofpeace', 'indices': [67, 88]}, {'text': 'thegroup', 'indices': [92, 101]}]",0,0,,Pakistan,,Pakistan
