,tweet,hashtags,label
0,pil file twitter promote khalistan good initiative sikh community try sa,"['PIL', 'Twitter', 'Khalistan', 'SikhCommunity']",1
1,,"['Kashmir_With_India', 'ShameOnSFJ', 'ShameOnPannun', 'Khalis']",1
2,pakistan around partition weve never see photograph colour ehsan rehan first photograph gurdwara,"['Pakistan', 'Gurdwara']",1
3,pannun no shame leave,"['Pannun', 'Khalistan']",1
4,pannun pakistani puppet who work pakistan see indian sikh answer referendum shame,['Shame'],1
5,pil file twitter promote khalistan good initiative sikh community try sa,"['PIL', 'Twitter', 'Khalistan', 'SikhCommunity']",1
6,,"['Kashmir_With_India', 'ShameOnSFJ', 'ShameOnPannun', 'Khalis']",1
7,pakistan around partition weve never see photograph colour ehsan rehan first photograph gurdwara,"['Pakistan', 'Gurdwara']",1
8,pannun no shame leave,"['Pannun', 'Khalistan']",1
9,pannun pakistani puppet who work pakistan see indian sikh answer referendum shame,['Shame'],1
10,no khalistan khai garbage dear sikh quick realise pannun,"['Khalistan', 'Khai']",1
11,pannun not listen real sikh imaginary world doesnt care sikh community,"['Pannun', 'RealSikhs', 'SikhCommunity']",1
12,,[],1
13,sikh justice mislead sikh community name khalistan support pakistan,['Khalistan'],1
14,gherao sept truck rally day modi solution farmersbill sfj khalistan register,"['TruckRally', 'Modi', 'Farmersbill2020', 'SFJ', 'Khalistan', 'Register']",1
15,sikh justice mislead sikh community name khalistan support pakistan,['Khalistan'],1
16,pig india no no not regular pig who demand loha sharia pig who demand,['India'],1
17,gherao sept truck rally day modi solution farmersbill sfj khalistan,"['TruckRally', 'Modi', 'Farmersbill2020', 'SFJ', 'Khalistan']",1
18,pannun not listen real sikh imaginary world doesnt care sikh community,"['Pannun', 'RealSikhs', 'SikhCommunity']",1
19,mp barrs journalist view tweet mean mp scar hold accountable,[],1
20,what would call video watch tight slap dose humiliation sfj khalistani separ,"['SFJ', 'KhalistaniSepar']",1
21,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],1
22,b namaste invite watch late video terry milewski report expose pakistan role khalistan move,"['Terry', 'Pakistan', 'Khalistan']",1
23,sikh justice mislead sikh community name khalistan support pakistan,['Khalistan'],1
24,farmer register vote october maximum register vote get grant money sfj,[],1
25,like fail agenda pannun door door campaign go super failure nahi chahida k,"['Pannun', 'door', 'NahiChahidaK']",1
26,no way leave modi except may free kashmir vacant space way,['Modi'],1
27,no way leave modi except may free kashmir vacant space way,['Modi'],1
28,pakistan around partition weve never see photograph colour ehsan rehan first photograph gurdwara,"['Pakistan', 'Gurdwara']",1
29,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],1
30,mr pannun what real indian sikh want sikh inseparable part india proud,"['Sikh', 'India']",1
31,mr pannun what real indian sikh want sikh inseparable part india proud,"['Sikh', 'India']",1
32,canadian thinktank recently publish report which argue khalistan separatist movement project,['Khalistan'],1
33,exclusive break news khalistani supporter video show khalistan not subject,"['Breaking', 'KhalistaniSupporters', 'Khalistan']",1
34,solution farmersbill khalistan sfj modi register vote,"['farmersbill2020', 'khalistan', 'sfj', 'modi', 'Register2Vote2020']",1
35,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",1
36,mr pannun what real indian sikh want sikh inseparable part india proud,"['Sikh', 'India']",1
37,please stop rally cm gherao modi truck rally th sept solution,"['Modi', 'TruckRally']",1
38,punjab deep sht cm talk amp behave like goongetting chakka jam rail roko do,['Punjab'],1
39,solution farmersbill sfj khalistan th september get ready,"['Farmersbill2020', 'SFJ', 'Khalistan']",1
40,cm gherao modi truck rally th sept solution farmersbill sfj,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",1
41,oops what happen video go break every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",1
42,cm solution farmersbill sfj khalistan register vote khalistan,"['Farmersbill2020', 'SFJ', 'Khalistan']",1
43,punjab farmer sikh punjab show power modi protest policy ge,"['PunjabFarmers', 'Modi']",1
44,get ready gherao modi truck rally th sept solution farmersbill suffer farmer,"['GheraoModi', 'TruckRally', 'Farmersbill2020']",1
45,sfj gunda gang launch another application google play store which motive spread hate among sikh,"['Hate', 'Sikh']",1
46,sikh justice mislead sikh community name khalistan support pakistan,['Khalistan'],1
47,get ready gherao modi truck rally th sept solution farmersbill suffer farmer,"['Modi', 'TruckRally', 'Farmersbill2020']",1
48,get ready gherao modi truck rally th sept solution farmersbill suffer farmer,"['Modi', 'TruckRally', 'Farmersbill2020']",1
49,cm gherao modi truck rally th sept solution farmersbill sfj khalistan farmer w,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",1
50,b account withhold india response legal demand learn,[],1
51,start trend pakistan remember dr najeeb khalistan notifydecisionsofcommission payandserviceprotecti,"['RememberingDrNajeeb', 'khalistan', 'notifydecisionsofcommission', 'payandserviceprotecti']",1
52,b account withhold india response legal demand learn,[],1
53,pannun no shame leave,"['Pannun', 'Khalistan']",1
54,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",1
55,shame khalistani supporter whoever do no right stay punjab request leave ou,['ShameOnKhalistaniSupporters'],1
56,pannun amp minion dont try hard wont get neither vote nor socalled khalistan bo,['Khalistan'],1
57,start trend pakistan remember dr najeeb khalistan notifydecisionsofcommission payandserviceprotecti,"['RememberingDrNajeeb', 'khalistan', 'notifydecisionsofcommission', 'payandserviceprotecti']",1
58,no khalistan khai garbage dear sikh quick realise pannun,"['Khalistan', 'Khai']",1
59,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],1
60,cm gherao modi truck rally th sept truck driver urge understand fe,"['Modi', 'TruckRally']",1
61,cm solution farmersbill sfj khalistan register vote,"['Farmersbill2020', 'SFJ', 'Khalistan', 'Register2Vote2020']",1
62,cm gherao modi truck rally th sept truck drive urge reach delhi visible,"['Modi', 'TruckRally']",1
63,start trend pakistan remember dr najeeb khalistan notifydecisionsofcommission payandserviceprotecti,"['RememberingDrNajeeb', 'khalistan', 'notifydecisionsofcommission', 'payandserviceprotecti']",1
64,stop modi target land punjab farmer solution khalistan register vote,"['Modi', 'PunjabFarmers', 'Khalistan', 'Register2Vote2020']",1
65,farmer register vote october maximum register vote get grant money sfj,[],1
66,punjab deep sht cm talk amp behave like goongetting chakka jam rail roko do,['Punjab'],1
67,punjab deep sht cm talk amp behave like goongetting chakka jam rail roko do,['Punjab'],1
68,people ask khalistan,['Khalistan'],1
69,sfj gunda gang launch another application google play store which motive spread hate among sikh,"['Hate', 'Sikh']",1
70,sikh justice mislead sikh community name khalistan support pakistan,['Khalistan'],1
71,sikh justice mislead sikh community name khalistan support pakistan,['Khalistan'],1
72,charm hour long discussion channel president shiromani akali dal amritsar,[],1
73,gherao modi truck rally th sept solution khalistan justice prevail,"['TruckRally', 'Khalistan']",1
74,cm gherao modi truck rally th sept not accept farmer bill solution,"['Modi', 'TruckRally']",1
75,no way leave modi except may free kashmir vacant space way,['Modi'],1
76,no way leave modi except may free kashmir vacant space way khalistan,"['Modi', 'Khalistan']",1
77,cm gherao modi truck rally th sept solution farmersbill sfj raise voic,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",1
78,cm capt amarinder amp power doesn,[],1
79,solution farmersbill khalistan cm gherao modi truck rally,"['Farmersbill2020', 'Khalistan', 'TruckRally']",1
80,solution farmersbill khalistan cm gherao modi truck rally,"['Farmersbill2020', 'Khalistan', 'TruckRally']",1
81,pannun amp minion dont try hard wont get neither vote nor socalled khalistan bo,['Khalistan'],1
82,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",1
83,pannun no shame leave,"['Pannun', 'Khalistan']",1
84,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",1
85,b right farmer dont take darma justice way protest live,[],1
86,punjab deep sht cm talk amp behave like goongetting chakka jam rail roko do,['Punjab'],1
87,cm gherao modi truck rally th sept solution farmersbill sfj,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",1
88,farmer want right burn tractor not solution solution khalistan,['khalistan'],1
89,cm gherao modi truck rally th sept solution farmersbill sfj,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",1
90,cm gherao modi truck rally th sept solution farmersbill sfj,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",1
91,pannun pakistani puppet who work pakistan see indian sikh answer referendum shame,['Shame'],1
92,cm get ready gherao modi truck rally campaign th sept anti farmer bill pass,"['Modi', 'TruckRally']",1
93,cm gherao modi truck rally th sept support farmer stopmodi farmer want right live,"['Modi', 'TruckRally', 'stopmodi']",1
94,not punjab kesari dainik jagran way far punjab day super secular,[],1
95,cm gherao modi truck rally th sept solution farmersbill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",1
96,khalistan solution farmersbill cm gherao modi truck rally th sept,"['Khalistan', 'Farmersbill2020', 'Modi', 'TruckRally']",1
97,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],1
98,like fail agenda pannun door door campaign go super failure nahi chahida k,"['Pannun', 'door', 'NahiChahidaK']",1
99,b account withhold india response legal demand learn,[],1
100,cm u ready gherao modi truck rally watch u th sept solution,"['Modi', 'TruckRally']",1
101,people ask khalistan,['Khalistan'],1
