,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,tweet_url
0,b'OJIOGUOJIOGU2',2020-09-29 11:50:25,b'RT @EzeobiZ: @EmekaGift @antonioguterres @realDonaldTrump @netanyahu @EmmanuelMacron What we #IPOB are seeking for is @UN organised #Refere\xe2\x80\xa6',"[{'text': 'IPOB', 'indices': [93, 98]}]",3,0,[]
1,b'tonytonerro9',2020-09-29 11:49:29,b'RT @EzeobiZ: @EmekaGift @antonioguterres @realDonaldTrump @netanyahu @EmmanuelMacron What we #IPOB are seeking for is @UN organised #Refere\xe2\x80\xa6',"[{'text': 'IPOB', 'indices': [93, 98]}]",3,0,[]
2,b'Jamshaid_2012',2020-09-29 07:19:54,b'RT @Suleman2552: The Sikh community all over in the world including India are protesting against Hindutva and RSS terrorism.\nAnd the #Refer\xe2\x80\xa6',[],52,0,[]
3,b'jmez1010',2020-09-29 06:53:52,"b""RT @Jasleen_Kaur11: \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82Now Coming this is a next plan Pakistan  puppet pannun team's. #Kashmir_With_India #ShameOnSFJ #ShameOnPannun #Khalis\xe2\x80\xa6""","[{'text': 'Kashmir_With_India', 'indices': [85, 104]}, {'text': 'ShameOnSFJ', 'indices': [105, 116]}, {'text': 'ShameOnPannun', 'indices': [117, 131]}]",5,0,[]
4,b'jmez1010',2020-09-29 06:39:49,"b""RT @Jasleen_Kaur11: Pannun, a Pakistani puppet who works for Pakistan, see this, Indian Sikh's answer to the Referendum2020  for you.#Shame\xe2\x80\xa6""",[],29,0,[]
5,b'jmez1010',2020-09-29 06:32:28,b'RT @KaurVeera120596: The failure of #Referendum2020 is inevitable. That is why #Pannun is trying all his strategies in one go. Be it Door -\xe2\x80\xa6',"[{'text': 'Referendum2020', 'indices': [36, 51]}, {'text': 'Pannun', 'indices': [79, 86]}]",25,0,[]
6,b'sql_nz',2020-09-29 06:18:42,"b'Thanks Tiki Taane, you have secured a no-vote from me. @NewshubNZ\n#nzpol #cannabisreferendum #Referendum2020 \nhttps://t.co/QkkY4StsHh'","[{'text': 'nzpol', 'indices': [66, 72]}, {'text': 'cannabisreferendum', 'indices': [73, 92]}, {'text': 'Referendum2020', 'indices': [93, 108]}]",0,1,"[{'url': 'https://t.co/QkkY4StsHh', 'expanded_url': 'https://www.newshub.co.nz/home/entertainment/2020/09/i-m-a-really-good-driver-stoned-tiki-taane-says-cannabis-produces-minimal-harm.html', 'display_url': 'newshub.co.nz/home/entertain…', 'indices': [110, 133]}]"
7,b'TarunBh57539300',2020-09-29 04:22:19,"b'RT @KaurVeera120596: #PakistanISI keep the #Referendum2020 ball rolling to target the #SikhCommunity, especially the #Sikhyouth of Indian P\xe2\x80\xa6'","[{'text': 'PakistanISI', 'indices': [21, 33]}, {'text': 'Referendum2020', 'indices': [43, 58]}, {'text': 'SikhCommunity', 'indices': [86, 100]}, {'text': 'Sikhyouth', 'indices': [117, 127]}]",16,0,[]
8,b'AyushAn79220086',2020-09-29 02:50:03,"b'RT @Amarjot42854873: Do You know? \nSFJ\xe2\x80\x99s #Referendum2020 campaign that kicked off in London, instead of bringing popular support from Sikhs\xe2\x80\xa6'","[{'text': 'Referendum2020', 'indices': [41, 56]}]",27,0,[]
9,b'eu_and_u',2020-09-28 22:27:01,b'This Sunday and Monday Italy is holding a national referendum about a cut in its MPs. Swipe left to learn more abou\xe2\x80\xa6 https://t.co/qEJqEwqObj',[],0,0,"[{'url': 'https://t.co/qEJqEwqObj', 'expanded_url': 'https://twitter.com/i/web/status/1310707611898126338', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
