,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,tweet_url,user_location,tweet_urls
0,b'jst1step2Biafra',2020-10-02 12:37:02,b'YESTERDAY #SitAtHomeOnOctober1st @1stOct #Nigeria \xf0\x9f\x87\xb3\xf0\x9f\x87\xac DIED AWAITING BURIAL DATE. #ReferendumNow #Referendum2020\xe2\x80\xa6 https://t.co/o0ckHHYVFH',"[{'text': 'SitAtHomeOnOctober1st', 'indices': [10, 32]}, {'text': 'Nigeria', 'indices': [41, 49]}, {'text': 'ReferendumNow', 'indices': [80, 94]}, {'text': 'Referendum2020', 'indices': [95, 110]}]",0,0,,,"[{'url': 'https://t.co/o0ckHHYVFH', 'expanded_url': 'https://twitter.com/i/web/status/1312008692716523527', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]"
1,b'beingvick',2020-10-02 12:32:12,"b'RT @KhalistanIsAJo1: #Pannun - One man, multiple attributes. \nInstigating with #HateSpeech, promoting #Violence, misguiding innocents &amp; def\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'HateSpeech', 'indices': [79, 90]}, {'text': 'Violence', 'indices': [102, 111]}]",13,0,,,[]
2,b'jst1step2Biafra',2020-10-02 12:30:56,b'YESTERDAY #SitAtHomeOnOctober1st @1stOct #Nigeria \xf0\x9f\x87\xb3\xf0\x9f\x87\xac DIED AWAITING BURIAL DATE. #ReferendumNow #Referendum2020\xe2\x80\xa6 https://t.co/ArUnCfJTXq',"[{'text': 'SitAtHomeOnOctober1st', 'indices': [10, 32]}, {'text': 'Nigeria', 'indices': [41, 49]}, {'text': 'ReferendumNow', 'indices': [80, 94]}, {'text': 'Referendum2020', 'indices': [95, 110]}]",0,1,,,"[{'url': 'https://t.co/ArUnCfJTXq', 'expanded_url': 'https://twitter.com/i/web/status/1312007154371645440', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]"
3,b'Randhee25160680',2020-10-02 12:16:23,"b'RT @KhalistanIsAJo1: #Pannun - One man, multiple attributes. \nInstigating with #HateSpeech, promoting #Violence, misguiding innocents &amp; def\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'HateSpeech', 'indices': [79, 90]}, {'text': 'Violence', 'indices': [102, 111]}]",13,0,,,[]
4,b'ogeiznltd',2020-10-02 11:20:46,b'RT @JonasMaduakolam: @MaziNnamdiKanu @nassnigeria @DailyPostNGR @PoliceNG @UKinNigeria @USinNigeria @USIP @CFR_org @USAmbIsrael @nassnigeri\xe2\x80\xa6',[],3,0,,,[]
5,b'pamnoj',2020-10-02 10:48:59,"b'RT @KhalistanIsAJo1: #Pannun - One man, multiple attributes. \nInstigating with #HateSpeech, promoting #Violence, misguiding innocents &amp; def\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'HateSpeech', 'indices': [79, 90]}, {'text': 'Violence', 'indices': [102, 111]}]",13,0,,,[]
6,b'JimmyKaur3',2020-10-02 10:35:46,"b'RT @KhalistanIsAJo1: #Pannun - One man, multiple attributes. \nInstigating with #HateSpeech, promoting #Violence, misguiding innocents &amp; def\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'HateSpeech', 'indices': [79, 90]}, {'text': 'Violence', 'indices': [102, 111]}]",13,0,,,[]
7,b'better_delhincr',2020-10-02 10:32:24,"b'RT @KhalistanIsAJo1: #Pannun - One man, multiple attributes. \nInstigating with #HateSpeech, promoting #Violence, misguiding innocents &amp; def\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'HateSpeech', 'indices': [79, 90]}, {'text': 'Violence', 'indices': [102, 111]}]",13,0,,,[]
8,b'Sahabji12939669',2020-10-02 10:16:37,"b'RT @KhalistanIsAJo1: #Pannun - One man, multiple attributes. \nInstigating with #HateSpeech, promoting #Violence, misguiding innocents &amp; def\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'HateSpeech', 'indices': [79, 90]}, {'text': 'Violence', 'indices': [102, 111]}]",13,0,,,[]
9,b'RanviKashyap',2020-10-02 10:05:40,b'RT @Gurpree91384693: Here comes the new #KhalistaniDrama! If you #Khalistanis think that by uploading videos and images where 5 to 10 peopl\xe2\x80\xa6',"[{'text': 'KhalistaniDrama', 'indices': [40, 56]}, {'text': 'Khalistanis', 'indices': [65, 77]}]",14,0,,,[]
