,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,tweet_url,user_location,tweet_urls
0,b'Shilpa0226',2020-10-03 06:59:35,"b'RT @JimmyKaur3: #Pannun and other #KhalistaniSupporters, please try to understand that if you are asking a question to #Sikhs that ""Do you\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [16, 23]}, {'text': 'KhalistaniSupporters', 'indices': [34, 55]}, {'text': 'Sikhs', 'indices': [119, 125]}]",5,0,,India,[]
1,b'akki75926221',2020-10-03 06:55:09,"b'RT @JimmyKaur3: #Pannun and other #KhalistaniSupporters, please try to understand that if you are asking a question to #Sikhs that ""Do you\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [16, 23]}, {'text': 'KhalistaniSupporters', 'indices': [34, 55]}, {'text': 'Sikhs', 'indices': [119, 125]}]",5,0,,,[]
2,b'KhaKhan83970385',2020-10-03 06:51:05,"b'RT @gohar_maheen: Trending Topics in Pakistan on 03-Oct-20, 04:30:05\n\n41 #COVID19\n42 #thealbum\n43 #fridaymotivation\n44 #studentsprotestwith\xe2\x80\xa6'","[{'text': 'COVID19', 'indices': [73, 81]}, {'text': 'thealbum', 'indices': [85, 94]}, {'text': 'fridaymotivation', 'indices': [98, 115]}]",5,0,,,[]
3,b'ZayniRajput',2020-10-03 06:48:06,"b'RT @gohar_maheen: Trending Topics in Pakistan on 03-Oct-20, 04:30:05\n\n41 #COVID19\n42 #thealbum\n43 #fridaymotivation\n44 #studentsprotestwith\xe2\x80\xa6'","[{'text': 'COVID19', 'indices': [73, 81]}, {'text': 'thealbum', 'indices': [85, 94]}, {'text': 'fridaymotivation', 'indices': [98, 115]}]",5,0,,"Lahore, Pakistan",[]
4,b'Diljeet_Aroroa',2020-10-03 06:36:59,b'#SFJ Releases $1Million For \n#Punjab #Haryana #Farmers \n Farmers are systematically forced into suicides. Applicati\xe2\x80\xa6 https://t.co/Lgf6StccAG',"[{'text': 'SFJ', 'indices': [0, 4]}, {'text': 'Punjab', 'indices': [29, 36]}, {'text': 'Haryana', 'indices': [37, 45]}, {'text': 'Farmers', 'indices': [46, 54]}]",0,0,,,"[{'url': 'https://t.co/Lgf6StccAG', 'expanded_url': 'https://twitter.com/i/web/status/1312280468092485632', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
5,b'Diljeet_Aroroa',2020-10-03 06:36:22,"b'When Indian and #Punjab government is busy in oppressing farmers , #SFJ has decided to help these poor farmers of\xe2\x80\xa6 https://t.co/v7YCGr2g2C'","[{'text': 'Punjab', 'indices': [16, 23]}, {'text': 'SFJ', 'indices': [67, 71]}]",0,0,,,"[{'url': 'https://t.co/v7YCGr2g2C', 'expanded_url': 'https://twitter.com/i/web/status/1312280313381482497', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]"
6,b'Diljeet_Aroroa',2020-10-03 06:35:54,b'The Only solution is #Khalistan for #Punjab #Haryana\n#SFJ #Khalistan #Register2Vote2020 #Farmersbill2020\xe2\x80\xa6 https://t.co/cSFDYtySB5',"[{'text': 'Khalistan', 'indices': [21, 31]}, {'text': 'Punjab', 'indices': [36, 43]}, {'text': 'Haryana', 'indices': [44, 52]}, {'text': 'SFJ', 'indices': [53, 57]}, {'text': 'Khalistan', 'indices': [58, 68]}, {'text': 'Register2Vote2020', 'indices': [69, 87]}, {'text': 'Farmersbill2020', 'indices': [88, 104]}]",0,0,,,"[{'url': 'https://t.co/cSFDYtySB5', 'expanded_url': 'https://twitter.com/i/web/status/1312280195605331969', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [106, 129]}]"
7,b'RanaAsadMasood1',2020-10-03 06:35:15,b'RT @ShahzaibKasra4: #Khalistan #\xd8\xb9\xd8\xb2\xd8\xaa_\xda\xa9\xdb\x8c_\xd8\xb2\xd9\x86\xd8\xaf\xda\xaf\xdb\x8c_\xd8\xac\xdb\x8c\xd8\xa6\xdb\x8c\xda\xba_\xda\xaf\xdb\x92\nIn Sha ALLAH\nAMEEN https://t.co/8Islz4oBsk',"[{'text': 'Khalistan', 'indices': [20, 30]}, {'text': 'عزت_کی_زندگی_جیئیں_گے', 'indices': [31, 53]}]",7,0,,"Pakpattan, Pakistan",[]
8,b'Diljeet_Aroroa',2020-10-03 06:34:42,b'Farmers Register them self Against Anti Farmers Bill on 1 oct to 8 Oct in #Punjab and #Haryana for #khalistan and A\xe2\x80\xa6 https://t.co/fcUmPiR2Ll',"[{'text': 'Punjab', 'indices': [74, 81]}, {'text': 'Haryana', 'indices': [86, 94]}, {'text': 'khalistan', 'indices': [99, 109]}]",0,0,,,"[{'url': 'https://t.co/fcUmPiR2Ll', 'expanded_url': 'https://twitter.com/i/web/status/1312279894303404037', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
9,b'gohar_maheen',2020-10-03 06:34:19,"b'RT @gohar_maheen: Trending Topics in Pakistan on 03-Oct-20, 04:30:05\n\n41 #COVID19\n42 #thealbum\n43 #fridaymotivation\n44 #studentsprotestwith\xe2\x80\xa6'","[{'text': 'COVID19', 'indices': [73, 81]}, {'text': 'thealbum', 'indices': [85, 94]}, {'text': 'fridaymotivation', 'indices': [98, 115]}]",5,0,,,[]
