,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,url
0,b'ChopraDilpreet',2020-09-29 07:08:52,b'This #PIL filed against #Twitter for promoting #Khalistan is a good initiative. #SikhCommunity is just trying to sa\xe2\x80\xa6 https://t.co/w8OrEmslpu',"[{'text': 'PIL', 'indices': [5, 9]}, {'text': 'Twitter', 'indices': [24, 32]}, {'text': 'Khalistan', 'indices': [47, 57]}, {'text': 'SikhCommunity', 'indices': [80, 94]}]",0,0,"[{'url': 'https://t.co/w8OrEmslpu', 'expanded_url': 'https://twitter.com/i/web/status/1310838939700391936', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
1,b'jmez1010',2020-09-29 06:53:52,"b""RT @Jasleen_Kaur11: \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82Now Coming this is a next plan Pakistan  puppet pannun team's. #Kashmir_With_India #ShameOnSFJ #ShameOnPannun #Khalis\xe2\x80\xa6""","[{'text': 'Kashmir_With_India', 'indices': [85, 104]}, {'text': 'ShameOnSFJ', 'indices': [105, 116]}, {'text': 'ShameOnPannun', 'indices': [117, 131]}]",5,0,[]
2,b'jmez1010',2020-09-29 06:51:23,"b""RT @DarrenVirk: #Pakistan around partition as we've never seen it before. Photographs coloured by Ehsan Rehan\nFirst photograph is #Gurdwara\xe2\x80\xa6""","[{'text': 'Pakistan', 'indices': [16, 25]}, {'text': 'Gurdwara', 'indices': [130, 139]}]",10,0,[]
3,b'jmez1010',2020-09-29 06:48:21,"b'RT @Harbaks21769227: #Pannun has no shame left. \xf0\x9f\x98\x92 Well, nobody is afraid of you by now whether you print #Khalistan pamphlets or write rubb\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'Khalistan', 'indices': [105, 115]}]",13,0,[]
4,b'jmez1010',2020-09-29 06:39:49,"b""RT @Jasleen_Kaur11: Pannun, a Pakistani puppet who works for Pakistan, see this, Indian Sikh's answer to the Referendum2020  for you.#Shame\xe2\x80\xa6""",[],29,0,[]
5,b'ChopraDilpreet',2020-09-29 07:08:52,b'This #PIL filed against #Twitter for promoting #Khalistan is a good initiative. #SikhCommunity is just trying to sa\xe2\x80\xa6 https://t.co/w8OrEmslpu',"[{'text': 'PIL', 'indices': [5, 9]}, {'text': 'Twitter', 'indices': [24, 32]}, {'text': 'Khalistan', 'indices': [47, 57]}, {'text': 'SikhCommunity', 'indices': [80, 94]}]",0,0,"[{'url': 'https://t.co/w8OrEmslpu', 'expanded_url': 'https://twitter.com/i/web/status/1310838939700391936', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
6,b'jmez1010',2020-09-29 06:53:52,"b""RT @Jasleen_Kaur11: \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82Now Coming this is a next plan Pakistan  puppet pannun team's. #Kashmir_With_India #ShameOnSFJ #ShameOnPannun #Khalis\xe2\x80\xa6""","[{'text': 'Kashmir_With_India', 'indices': [85, 104]}, {'text': 'ShameOnSFJ', 'indices': [105, 116]}, {'text': 'ShameOnPannun', 'indices': [117, 131]}]",5,0,[]
7,b'jmez1010',2020-09-29 06:51:23,"b""RT @DarrenVirk: #Pakistan around partition as we've never seen it before. Photographs coloured by Ehsan Rehan\nFirst photograph is #Gurdwara\xe2\x80\xa6""","[{'text': 'Pakistan', 'indices': [16, 25]}, {'text': 'Gurdwara', 'indices': [130, 139]}]",10,0,[]
8,b'jmez1010',2020-09-29 06:48:21,"b'RT @Harbaks21769227: #Pannun has no shame left. \xf0\x9f\x98\x92 Well, nobody is afraid of you by now whether you print #Khalistan pamphlets or write rubb\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'Khalistan', 'indices': [105, 115]}]",13,0,[]
9,b'jmez1010',2020-09-29 06:39:49,"b""RT @Jasleen_Kaur11: Pannun, a Pakistani puppet who works for Pakistan, see this, Indian Sikh's answer to the Referendum2020  for you.#Shame\xe2\x80\xa6""",[],29,0,[]
