,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,tweet_url,user_location,tweet_urls
0,b'Prabhjyot_Madan',2020-09-28 21:41:34,"b""RT @Jas_preet1984: Sikhs For Justice has been misleading the Sikh Community in the name of #Khalistan with the support of Pakistan. It's an\xe2\x80\xa6""","[{'text': 'Khalistan', 'indices': [91, 101]}]",9,0,,"Kolkata, India",[]
1,b'majid_jan',2020-09-28 21:32:21,b'RT @Charan_Jeet00: Farmers can register their vote on october and maximum they can register 25 votes and get 5000 grant money from SFJ and\xe2\x80\xa6',[],5,0,,,[]
2,b'AnupSin70545478',2020-09-28 19:46:46,"b'RT @Gsimran07: Just like all other failed agendas of #Pannun, this #door to door campaign is going to be a super failure too. #NahiChahidaK\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [53, 60]}, {'text': 'door', 'indices': [67, 72]}]",9,0,,,[]
3,b'P45137',2020-09-28 18:54:40,b'RT @Rizwansaib2: @Mimranmadina @adgpi @SikhPA There is no way left for #Modi except that he may freed Kashmir and vacant space in the way o\xe2\x80\xa6',"[{'text': 'Modi', 'indices': [71, 76]}]",4,0,,"Somewhere on earth , nearest .",[]
4,b'A2Khizar',2020-09-28 18:49:28,b'RT @Rizwansaib2: @Mimranmadina @adgpi @SikhPA There is no way left for #Modi except that he may freed Kashmir and vacant space in the way o\xe2\x80\xa6',"[{'text': 'Modi', 'indices': [71, 76]}]",4,0,,@peaceforchange,[]
5,b'Suneel_IND',2020-09-28 18:14:31,"b""RT @DarrenVirk: #Pakistan around partition as we've never seen it before. Photographs coloured by Ehsan Rehan\nFirst photograph is #Gurdwara\xe2\x80\xa6""","[{'text': 'Pakistan', 'indices': [16, 25]}, {'text': 'Gurdwara', 'indices': [130, 139]}]",10,0,,"kinshasa, DR Congo",[]
6,b'ChiragdeepDahi1',2020-09-28 18:01:57,"b'RT @ChiragdeepDahi1: Fight for #Khalistan will result in mainly two things, carnage of innocent people and resurgence of hatred in the soci\xe2\x80\xa6'","[{'text': 'Khalistan', 'indices': [31, 41]}]",33,0,,,[]
7,b'farrrrrrright',2020-09-28 17:52:17,"b'RT @Jasleen_Kaur11: Mr.Pannun, This is what a Real Indian #Sikh wants. We Sikhs are an inseparable part of #India, and we are proud to be a\xe2\x80\xa6'","[{'text': 'Sikh', 'indices': [58, 63]}, {'text': 'India', 'indices': [107, 113]}]",15,0,,,[]
8,b'Purneawala3',2020-09-28 17:43:28,"b'RT @Jasleen_Kaur11: Mr.Pannun, This is what a Real Indian #Sikh wants. We Sikhs are an inseparable part of #India, and we are proud to be a\xe2\x80\xa6'","[{'text': 'Sikh', 'indices': [58, 63]}, {'text': 'India', 'indices': [107, 113]}]",15,0,,"Rajkot, India",[]
9,b'KAbdulmouty',2020-09-28 17:41:09,"b'RT @Jas_preet1984: Canadian think-tank that recently published  report, which argued that the #Khalistan separatist movement is a project o\xe2\x80\xa6'","[{'text': 'Khalistan', 'indices': [94, 104]}]",3,0,,,[]
