,Unnamed: 0,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,url,tweet_url
2500,2500,b'KanchanGupta',2020-09-23 17:19:06,"b'Petition in Delhi High Court against @Twitter whose ""servers were used for the promotion of #Khalistan"". Some serio\xe2\x80\xa6 https://t.co/kcXCsK6wAv'","[{'text': 'Khalistan', 'indices': [92, 102]}]",216,419,"[{'url': 'https://t.co/kcXCsK6wAv', 'expanded_url': 'https://twitter.com/i/web/status/1308818185479618560', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",
4338,153,b'realSukhiChahal',2020-09-26 18:38:01,"b'Pakistan destroying, misleading Punjab\'s #Sikh youth &amp; Rejected ""Sikhs For Justice"" #SFJ campaign of\xe2\x80\xa6 https://t.co/CsRFOmU9af'","[{'text': 'Sikh', 'indices': [41, 46]}, {'text': 'SFJ', 'indices': [88, 92]}]",26,179,,"[{'url': 'https://t.co/CsRFOmU9af', 'expanded_url': 'https://twitter.com/i/web/status/1309925208199847936', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [106, 129]}]"
432,432,b'realSukhiChahal',2020-09-27 16:49:04,"b'Had a charming 1 hour long discussions on @TheKhalsaToday channel with President of Shiromani Akali Dal (Amritsar),\xe2\x80\xa6 https://t.co/jwVuRvWN1u'",[],14,153,"[{'url': 'https://t.co/jwVuRvWN1u', 'expanded_url': 'https://twitter.com/i/web/status/1310260178441306112', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",
2837,2837,b'Jasmeet09660105',2020-09-23 03:12:06,"b'#Sikhs, wake up and see the reality of #Pakistan where it is promoting #Khalistan on one side whereas on the other\xe2\x80\xa6 https://t.co/C41jTOAo9I'","[{'text': 'Sikhs', 'indices': [0, 6]}, {'text': 'Pakistan', 'indices': [39, 48]}, {'text': 'Khalistan', 'indices': [71, 81]}]",54,133,"[{'url': 'https://t.co/C41jTOAo9I', 'expanded_url': 'https://twitter.com/i/web/status/1308605029884985344', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",
3097,3097,b'Amarjot42854873',2020-09-21 19:07:17,"b'Dear #SFJ, #Pannun and other #Khalistan supporters, please answer these questions asked in the video or stop your\xe2\x80\xa6 https://t.co/NSJGEqGCNE'","[{'text': 'SFJ', 'indices': [5, 9]}, {'text': 'Pannun', 'indices': [11, 18]}, {'text': 'Khalistan', 'indices': [29, 39]}]",56,128,"[{'url': 'https://t.co/NSJGEqGCNE', 'expanded_url': 'https://twitter.com/i/web/status/1308120635856617473', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]",
3110,3110,b'ChiragdeepDahi1',2020-09-21 18:37:03,b'#Pannun this is the actual status of your so-called #Khalistan #referendum2020 voting and you still want to have a\xe2\x80\xa6 https://t.co/zigQsdJv5m',"[{'text': 'Pannun', 'indices': [0, 7]}, {'text': 'Khalistan', 'indices': [52, 62]}, {'text': 'referendum2020', 'indices': [63, 78]}]",42,127,"[{'url': 'https://t.co/zigQsdJv5m', 'expanded_url': 'https://twitter.com/i/web/status/1308113025455607808', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",
4658,473,b'ChiragdeepDahi1',2020-09-21 18:37:03,b'#Pannun this is the actual status of your so-called #Khalistan #referendum2020 voting and you still want to have a\xe2\x80\xa6 https://t.co/zigQsdJv5m',"[{'text': 'Pannun', 'indices': [0, 7]}, {'text': 'Khalistan', 'indices': [52, 62]}, {'text': 'referendum2020', 'indices': [63, 78]}]",42,127,,"[{'url': 'https://t.co/zigQsdJv5m', 'expanded_url': 'https://twitter.com/i/web/status/1308113025455607808', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2384,2384,b'ChiragdeepDahi1',2020-09-23 19:07:04,"b'#ShameOnKhalistaniSupporters, whoever has done this has no right to stay in our Punjab. They are requested to leave\xe2\x80\xa6 https://t.co/QOnItJoVh7'","[{'text': 'ShameOnKhalistaniSupporters', 'indices': [0, 28]}]",38,112,"[{'url': 'https://t.co/QOnItJoVh7', 'expanded_url': 'https://twitter.com/i/web/status/1308845353433739268', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",
412,412,b'ChiragdeepDahi1',2020-09-27 18:50:50,"b'Fight for #Khalistan will result in mainly two things, carnage of innocent people and resurgence of hatred in the s\xe2\x80\xa6 https://t.co/8L0wJ0Jrw4'","[{'text': 'Khalistan', 'indices': [10, 20]}]",33,110,"[{'url': 'https://t.co/8L0wJ0Jrw4', 'expanded_url': 'https://twitter.com/i/web/status/1310290819895537666', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",
2835,2835,b'Ravneet85005514',2020-09-23 03:14:17,"b'The so-called ""pure"" country called Pakistan is killing, murdering, blasting, and commuting inhuman atrocities on t\xe2\x80\xa6 https://t.co/O4igD8aQmF'",[],46,107,"[{'url': 'https://t.co/O4igD8aQmF', 'expanded_url': 'https://twitter.com/i/web/status/1308605577665196034', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",
