,Unnamed: 0,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,url,tweet_url
459,459,b'khhokher',2020-09-27 12:19:37,"b'RT @iVeenaKhan: Unemployment, drugs, and water-related issues have forced  Sikh farmers to commit suicide. Every Indian citizen must stand\xe2\x80\xa6'",[],496,0,[],
3120,3120,b'RealAmanArora',2020-09-21 17:59:15,b'RT @vaibhavUP65: Here is today\xe2\x80\x99s release of #DefensiveOffence on #Khalistan. I spoke to @realSukhiChahal paaji on how ISI runs fake propaga\xe2\x80\xa6',"[{'text': 'DefensiveOffence', 'indices': [44, 61]}, {'text': 'Khalistan', 'indices': [65, 75]}]",464,0,[],
4321,136,b'Obi21062573',2020-09-27 03:05:40,"b'RT @OduduwaR: By now i expect Redeemed, Winners, Mountain of fire members on the street protesting. Irrespective of ur quietness, the deadl\xe2\x80\xa6'",[],248,0,,[]
4375,190,b'AdogaLdagu',2020-09-26 02:55:26,"b'RT @OduduwaR: By now i expect Redeemed, Winners, Mountain of fire members on the street protesting. Irrespective of ur quietness, the deadl\xe2\x80\xa6'",[],248,0,,[]
4379,194,b'IdimoguK',2020-09-25 17:15:54,"b'RT @OduduwaR: By now i expect Redeemed, Winners, Mountain of fire members on the street protesting. Irrespective of ur quietness, the deadl\xe2\x80\xa6'",[],248,0,,[]
4386,201,b'nwokolo_leo',2020-09-25 09:31:10,"b'RT @OduduwaR: By now i expect Redeemed, Winners, Mountain of fire members on the street protesting. Irrespective of ur quietness, the deadl\xe2\x80\xa6'",[],248,0,,[]
4387,202,b'EchefunaMbanusi',2020-09-25 09:25:57,"b'RT @OduduwaR: By now i expect Redeemed, Winners, Mountain of fire members on the street protesting. Irrespective of ur quietness, the deadl\xe2\x80\xa6'",[],248,0,,[]
4398,213,b'uzoma79357831',2020-09-25 03:51:50,"b'RT @OduduwaR: By now i expect Redeemed, Winners, Mountain of fire members on the street protesting. Irrespective of ur quietness, the deadl\xe2\x80\xa6'",[],248,0,,[]
4406,221,b'allison4all',2020-09-24 14:57:04,"b'RT @OduduwaR: By now i expect Redeemed, Winners, Mountain of fire members on the street protesting. Irrespective of ur quietness, the deadl\xe2\x80\xa6'",[],248,0,,[]
2050,2050,b'AjitPra48031176',2020-09-24 19:12:05,"b'RT @KanchanGupta: Petition in Delhi High Court against @Twitter whose ""servers were used for the promotion of #Khalistan"". Some serious all\xe2\x80\xa6'","[{'text': 'Khalistan', 'indices': [110, 120]}]",216,0,[],
